"Start Time","End Time","Activity ID","Activity Name","Description","Location Name","Time Zone","Offset","Duration (h:m:s)","Elapsed Duration (h:m:s)","Moving Duration (h:m:s)","Activity Parent","Activity Type","Event Type","Device","Gear","Privacy","File Format","Distance (km)","Average Speed (km/h)","Average Speed (km/h or min/km)","Average Moving Speed (km/h)","Average Moving Speed (km/h or min/km)","Max. Speed (km/h)","Max. Speed (km/h or min/km)","Elevation Gain (m)","Elevation Loss (m)","Elevation Min. (m)","Elevation Max. (m)","Elevation Corrected","Begin Latitude (°DD)","Begin Longitude (°DD)","End Latitude (°DD)","End Longitude (°DD)","Max. Heart Rate (bpm)","Average Heart Rate (bpm)","Calories","VO2max","Aerobic Training Effect","Anaerobic Training Effect","Avg. Run Cadence","Max. Run Cadence","Stride Length","Steps","Avg. Cadence (rpm)","Max. Cadence (rpm)","Strokes","Avg. Temp (°C)","Min. Temp (°C)","Max. Temp (°C)"
"2025-07-23T18:27:35+02:00","2025-07-23T19:58:26+02:00","19826750062","Fuerza","","","Europe/Paris","+02:00","01:30:51","01:30:51","00:17:54","Gym & Fitness Equipment","Strength Training","Uncategorized","Forerunner 265S 23.20.0.0","","groups","fit","","","","","","","","","","","","false","","","","","140","103","396","","0.7","0.5","","","","396","","","","","",""
"2025-07-21T18:25:11+02:00","2025-07-21T19:55:55+02:00","19804847077","Fuerza","","","Europe/Paris","+02:00","01:30:44","01:30:44","00:18:56","Gym & Fitness Equipment","Strength Training","Uncategorized","Forerunner 265S 23.20.0.0","","groups","fit","","","","","","","","","","","","false","","","","","137","97","424","","0.4","0.1","","","","398","","","","","",""
"2025-07-20T09:53:48+02:00","2025-07-20T11:27:52+02:00","19790028215","Fuerza","","","Europe/Paris","+02:00","01:34:04","01:34:04","00:21:25","Gym & Fitness Equipment","Strength Training","Uncategorized","Forerunner 265S 23.20.0.0","","groups","fit","","","","","","","","","","","","false","","","","","142","103","497","","0.8","0.2","","","","538","","","","","",""
"2025-07-19T22:00:54+02:00","2025-07-19T22:06:28+02:00","19785993661","Relajación y concentración (c","","","Europe/Paris","+02:00","00:05:34","00:05:34","","Other","Breathwork","Uncategorized","Forerunner 265S 23.20.0.0","","groups","fit","","","","","","","","","","","","false","","","","","84","72","","","","","","","","","","","","","",""
"2025-07-19T09:48:34+02:00","2025-07-19T10:28:34+02:00","19779226448","Bicicleta estática","","","Europe/Paris","+02:00","00:40:00","00:40:00","","Cycling","Indoor Cycling","Uncategorized","Forerunner 265S 23.20.0.0","","groups","fit","10.50000","15.74751976563691","15.7","","","","","","","","","false","","","","","129","112","298","","1.2","","","","","","","","","","",""
"2025-07-18T16:33:17+02:00","2025-07-18T18:16:23+02:00","19773628694","Fuerza","","","Europe/Paris","+02:00","01:43:06","01:43:06","00:23:36","Gym & Fitness Equipment","Strength Training","Uncategorized","Forerunner 265S 23.20.0.0","","groups","fit","","","","","","","","","","","","false","","","","","154","104","530","","1.2","0.6","","","","340","","","","","",""
"2025-07-17T22:04:42+02:00","2025-07-17T23:00:28+02:00","19766215757","Padel","","","Europe/Paris","+02:00","00:55:46","00:55:46","00:07:49","Racket Sports","Padel","Uncategorized","Forerunner 265S 23.20.0.0","","groups","fit","0.67614","0.7272000253200531","0.7","5.18998731926306","5.2","11.217599773406983","11.2","","","","","false","","","","","161","118","430","","2.0","1.4","","","","3556","","","","","",""
"2025-07-17T18:49:32+02:00","2025-07-17T20:12:33+02:00","19766215698","Fuerza","","","Europe/Paris","+02:00","01:23:01","01:23:01","00:19:39","Gym & Fitness Equipment","Strength Training","Uncategorized","Forerunner 265S 23.20.0.0","","groups","fit","","","","","","","","","","","","false","","","","","143","106","345","","0.9","0.2","","","","394","","","","","",""
"2025-07-16T20:22:49+02:00","2025-07-16T21:11:53+02:00","19755047867","Madrid Caminhar","","Madrid","Europe/Paris","+02:00","00:43:53","00:49:04","00:38:43","Any Activity Type","Walking","Uncategorized","Forerunner 265S 23.20.0.0","","groups","fit","3.50790","4.795200061798096","12:31","5.436263301092338","11:02","9.406799697875977","06:23","67.0","65.0","686.0","724.0","false","40.443370","-3.704390","40.443820","-3.703598","107","91","259","51.0","0.8","","98.8","231.0","","4460","","","","","",""
"2025-07-15T06:57:13+02:00","2025-07-15T07:24:47+02:00","19736714765","Madrid Corrida","","Madrid","Europe/Paris","+02:00","00:27:34","00:27:34","00:27:27","Any Activity Type","Running","Uncategorized","Forerunner 265S 23.20.0.0","","groups","fit","5.01284","10.91159963607788","05:30","10.957026980874318","05:29","14.479199409484863","04:09","12.0","12.0","693.6","706.6","false","40.443414","-3.705096","40.442056","-3.705281","160","146","399","51.0","3.2","","164.88","176.0","110.13","4556","","","","","",""
"2025-07-14T19:11:52+02:00","2025-07-14T20:44:55+02:00","19733269469","Fuerza","","","Europe/Paris","+02:00","01:33:03","01:33:03","00:18:46","Gym & Fitness Equipment","Strength Training","Uncategorized","Forerunner 265S 23.20.0.0","","groups","fit","","","","","","","","","","","","false","","","","","135","95","449","","0.5","","","","","404","","","","","",""
"2025-07-12T08:25:53+02:00","2025-07-12T09:30:56+02:00","19706561166","Madrid Corrida","","Madrid","Europe/Paris","+02:00","01:04:54","01:05:03","01:04:49","Any Activity Type","Running","Uncategorized","Forerunner 265S 23.20.0.0","","groups","fit","11.35989","10.501200199127197","05:43","10.516387716972035","05:42","16.559999656677245","03:37","161.0","176.0","636.4","701.6","false","40.441990","-3.704286","40.441738","-3.704300","176","158","961","50.0","4.3","0.3","164.91","176.0","106.36","10690","","","","","",""
"2025-07-11T16:39:32+02:00","2025-07-11T18:00:17+02:00","19701421809","Fuerza","","","Europe/Paris","+02:00","01:20:45","01:20:45","00:22:49","Gym & Fitness Equipment","Strength Training","Uncategorized","Forerunner 265S 23.20.0.0","","groups","fit","","","","","","","","","","","","false","","","","","132","99","342","","0.5","","","","","384","","","","","",""
"2025-07-10T06:50:06+02:00","2025-07-10T07:20:07+02:00","19695202111","Madrid Corrida","","Madrid","Europe/Paris","+02:00","00:30:01","00:30:01","00:30:01","Any Activity Type","Running","Uncategorized","Forerunner 265S 23.20.0.0","","groups","fit","5.24464","10.479600048065185","05:44","10.483456131142422","05:43","11.89079990386963","05:03","18.0","20.0","685.4","697.4","false","40.443279","-3.705373","40.443437","-3.705501","163","151","438","50.0","3.3","","164.42","174.0","106.46","4934","","","","","",""
"2025-07-09T18:33:53+02:00","2025-07-09T20:01:41+02:00","19682391441","Fuerza","","","Europe/Paris","+02:00","01:27:48","01:27:48","00:22:27","Gym & Fitness Equipment","Strength Training","Uncategorized","Forerunner 265S 23.20.0.0","","groups","fit","","","","","","","","","","","","false","","","","","138","102","437","","0.7","","","","","310","","","","","",""
"2025-07-07T18:57:03+02:00","2025-07-07T20:05:30+02:00","19661345008","Fuerza","","","Europe/Paris","+02:00","01:08:27","01:08:27","00:15:15","Gym & Fitness Equipment","Strength Training","Uncategorized","Forerunner 265S 23.20.0.0","","groups","fit","","","","","","","","","","","","false","","","","","150","101","251","","0.8","0.7","","","","150","","","","","",""
"2025-07-04T18:24:46+02:00","2025-07-04T19:55:02+02:00","19632361033","Fuerza","","","Europe/Paris","+02:00","01:30:16","01:30:16","00:22:04","Gym & Fitness Equipment","Strength Training","Uncategorized","Forerunner 265S 23.20.0.0","","groups","fit","","","","","","","","","","","","false","","","","","155","108","553","","1.3","1.0","","","","350","","","","","",""
